Carimbo de data/hora,A qual instituição você está filiado hoje?,"Se você estuda na UFPR, em qual setor você está inserido?  ",Qual sua atividade atual na sua universidade (relacionada à presença nesta disciplina)?,Em qual grande área do conhecimento sua pesquisa está inserida hoje?,Em qual ano você concluiu sua graduação?,"Em qual instituição você concluiu sua graduação? (Insira a sigla, ex: UFPR, UNIOESTE, PUCPR, UEM, UEL, etc.)",De quais programas na graduação você participou?,"Se você já concluiu o mestrado, qual o ano de início do mestrado?",Qual o ano de conclusão do seu mestrado?,Em qual instituição você fez seu mestrado?,Quantos artigos (com qualis) você já publicou?,Você é bolsista remunerado de algum programa? Qual?,Quantas disciplinas de Estatística você cursou na graduação?,Quantas disciplinas DIFERENTES de Estatística vc cursou na pós-graduação (mestrado + doutorado) no total? ,Já utilizou algum software estatístico?,Qual(is) software(s) com funcionalidades estatísticas você usa ou já usou?,Você vai utilizar métodos estatísticos na sua Pós-Graduação/Pesquisa?,Qual a importância que você atribui à Estatística no seu trabalho de Pós-Graduação/Pesquisa? ,"Se você está fazendo Pós-Graduação, qual a sua principal expectativa após a conclusão?",Como tomou conhecimento da Disciplina Transversal?,"Após se matricular no SIGA, você assistiu alguma aula do ano anterior da Disciplina no YouTube? ",A qual turma da disciplina você pertence?,Tem/teve contato ou conhecimento sobre o Prof. Coordenador da Disciplina (Paulo Justiniano)?,Tem/teve contato ou conhecimento sobre o(s) prof(s). colaboradores da disciplina?,Você cursou o ensino médio em escola pública ou particular?,Você cursou:,Sexo,Qual a sua altura?,Qual o seu peso?,Qual a data do seu nascimento?,Qual das seguintes categorias descreve melhor sua situação de emprego?,Você mora,Quantos irmãos você tem?,Qual a sua origem?,Possui habilitação para dirigir? Qual categoria?,Qual seu meio de transporte predominante para ir para Universidade?,"Em média, quanto tempo você demora para chegar a Universidade?","Em média, quantas vezes você usa táxi/aplicativo de transporte durante o mês?",Possui animal de estimação?,Toca algum instrumento musical?,De quais redes sociais você participa?,Quantos anos você acha que a pessoa da foto abaixo tem?,"Observe as figuras abaixo. Uma delas se chama ""Bouba"" e a outra ""Kiki"". Quem é quem?"
13/03/2020 10:41:1479,UNILA,ET - Exatas,LK,Ciências Exatas,2014,Universidade Federal da Grande Dourados,ERSFS,2017,2019,Universidade Federal da Grande Dourados,2,CAPES,1,3,Sim,"SAS, Minitab, Statistica, SPSS, Excel, Matlab",Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Por colegas,Não,Remota,Sim,Não,"Parte em escola pública, parte em particular",Ensino médio tradicional,Feminino,175,74,16/03/1991,PKLFA,Com amigos,2,Interior do Paraná,A e B (moto e carro),A pé,20,6,Não possuo,Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Linkedin, Outras",47,A se chama Bouba e B se chama Kiki.
13/03/2020 10:41:1498,IFPR,AG - Agrárias,ASX,Ciências Biológicas,2008,Famema,"ASFAF, Iniciação científica, PET, Monitoria, Projeto de extensão, Empresa Júnior",,,,0,CAPES,0,0,Não,ASFDAF,Certamente sim,8,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,ASFA,Não,Presencial,Sim,Não,Totalmente em escola pública,Ensino médio tradicional,Masculino,175,80,03/03/1984,ASFA,Com o namorado(a)/noivo(a)/cônjuge,1,Outro Estado,A e B (moto e carro),Carro/moto próprio,15,2,"Cachorro, Gato, Pássaro, Peixe","Violão, Guitarra, Teclado, Contrabaixo",Facebook,30,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:1517,UTFPR,ET - Exatas,YG,Ciências Exatas,2003,UFPR,"PET, Monitoria",2017,2019,UFPR,0,Não,1,6,Sim,AFFHG,Não sei ainda,8,AASFASF,FS,Não,Remota,Não,Não,Totalmente em escola particular,Ensino médio profissionalizante (técnico),Masculino,160,60,27/08/1979,FE,"Pensão, quarto alugado ou algo similar",1,Outro País,A e B (moto e carro),Carro/moto próprio,30,0,"Tartaruga, Coelho",Violão,"Facebook, Instagram",45,A se chama Bouba e B se chama Kiki.
13/03/2020 10:41:1536,UFPR,"AC - Artes, Comunicação e Design",Mestrado Acadêmico,Ciências Exatas,1975,UFPR,"Iniciação científica, PET, Monitoria, Projeto de extensão, Empresa Júnior",2015,2016,UFPR,0,CAPES,1,0,Não,HKFFH,Definitivamente não,10,JHGF,FSAA,Não,Presencial,Não,Não,"Parte em escola pública, parte em particular",ASFAF,Feminino,161,64,13/03/1951,GDF,Sozinho,2,Curitiba,B (carro),Carro/moto próprio,40,0,"Pássaro, Peixe, Tartaruga, Coelho",Violão,"Facebook, Instagram",40,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:1555,UFPR,AG - Agrárias,Mestrado Acadêmico,Ciências Exatas,2004,UFMG,"Iniciação científica, PET, Monitoria, Projeto de extensão",,,,0,Não,1,5,Sim,EDCS,Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,SF,Não,Presencial,Não,Sim,Totalmente em escola particular,F,Masculino,158,67,02/03/1982,Trabalho ocasional,Com os pais,3,Região metropolitana,B (carro),Carro/moto próprio,20,2,Não possuo,Violão,"Facebook, Instagram",50,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:1574,UFPR,BL - Ciências Biológicas,Doutorado,Ciências Humanas,2009,PUC PR,"Iniciação científica, PET, Monitoria, Empresa Júnior",1984,1988,PUC SP,10,CAPES,1,2,Não,Excel,Não sei ainda,5,Conseguir um emprego.,AF,Não,Presencial,Não,Não,"Parte em escola pública, parte em particular",F,Feminino,166,60,28/08/2019,Trabalho por contrato,Com amigos,6,Curitiba,B (carro),Carro/moto próprio,20,2,"Cachorro, Gato, Pássaro, Peixe, Tartaruga, Coelho",Não toco nenhum instrumento,"Facebook, Instagram, Linkedin",50,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:1593,UFPR,SA - Sociais Aplicadas,Doutorado,Ciências Humanas,1989,UNOESC,"Iniciação científica, PET, Projeto de extensão, Empresa Júnior",2012,2014,UFPR,2,CNPQ,2,50,Sim,Excel,Definitivamente não,8,Conseguir um emprego.,AF,Não,Remota,Sim,Não,Totalmente em escola pública,Ensino médio tradicional,Masculino,175,90,28/11/1966,Trabalho com carteira assinada/Vínculo Formal,Com os pais,1,Interior do Paraná,A e B (moto e carro),A pé,10,4,Não possuo,"Violão, Guitarra, Teclado, Contrabaixo, Bateria, Piano, Flauta","Facebook, Twitter, Google+, Instagram, Linkedin, Outras",37,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:1612,UFPR,ET - Exatas,Doutorado,Ciências Exatas,2014,PUCPR,"Iniciação científica, Monitoria, Projeto de extensão, Empresa Júnior",2011,2013,UEL,6,LACTEC,1,2,Sim,Excel,Certamente sim,10,Aumento salarial e oportunidades mais promissoras.,FAF,Não,Remota,Sim,Não,Totalmente em escola particular,Ensino médio tradicional,Masculino,160,68,16/04/1992,Trabalho ocasional,Com outros familiares,1,Curitiba,B (carro),Carro/moto próprio,60,1,Não possuo,Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Linkedin, Outras",50,A se chama Bouba e B se chama Kiki.
13/03/2020 10:41:1631,UFPR,JD - Jurídicas,Mestrado Acadêmico,Ciências Biológicas,2001,PUC PR,"PET, Monitoria, Projeto de extensão, Empresa Júnior",2014,2016,UFPR,3,SIMEPAR,1,1,Sim,Excel,Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,FF,Não,Presencial,Sim,Não,"Parte em escola pública, parte em particular",Ensino médio tradicional,Feminino,155,51,27/10/2019,Trabalho por contrato,Com amigos,3,Região metropolitana,B (carro),Carro/moto próprio,20,0,Não possuo,Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Linkedin, Outras",40,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:1650,UFPR,SD - Saúde,Mestrado Acadêmico,Ciências Exatas,2009,Ielusc,"PET, Monitoria",,,,0,Fundação Araucária,1,0,Sim,"R, SAS, Excel",Certamente sim,9,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Pelos professores que ministram/ministraram disciplinas da Transversal,Não,Remota,Não,Sim,Totalmente em escola particular,Ensino médio profissionalizante (técnico),Masculino,170,79,13/01/1983,Bolsista em tempo integral,Com o namorado(a)/noivo(a)/cônjuge,2,Interior do Paraná,B (carro),Táxi/Aplicativo,20,10,"Cachorro, Gato, Pássaro, Peixe",Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Linkedin, Outras",50,A se chama Bouba e B se chama Kiki.
13/03/2020 10:41:1669,UFPR,CH - Humanas,Mestrado Acadêmico,Ciências Exatas,2018,Univali /SC,"PET, Monitoria",,,,0,Não,1,10,Sim,"R, SAS, Minitab, Statistica, SPSS, Excel, Matlab",Não sei ainda,10,AASFASF,Site da UFPR ou instituição de origem,Sim,Presencial,Não,Não,"Parte em escola pública, parte em particular",ASFAF,Feminino,165,68,23/10/1983,PKLFA,"Pensão, quarto alugado ou algo similar",1,Outro Estado,B (carro),Carro/moto próprio,150,1,"Tartaruga, Coelho","Violão, Guitarra, Teclado, Contrabaixo",Facebook,51,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:1688,UFPR,CT - Ciências da Terra,Mestrado Profissional,Ciências Exatas,2018,UFPR,"PET, Monitoria",2011,2013,UFPR,20,Não,1,0,Sim,"R, SAS, Minitab, Statistica, SPSS, Excel",Definitivamente não,10,JHGF,Site da UFPR ou instituição de origem,Não,Presencial,Não,Não,Totalmente em escola pública,F,Masculino,155,53,13/09/1990,ASFA,Sozinho,36,Outro País,A e B (moto e carro),Transporte público,90,0,"Pássaro, Peixe, Tartaruga, Coelho",Violão,"Facebook, Instagram",49,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:1707,UFPR,EP - Educação Profissional e Tecnológica,Doutorado,Ciências Humanas,2018,Universidade Estadual do Centro-Oeste,"PET, Monitoria",,,,0,Não,2,0,Sim,"R, SAS, Minitab, Statistica, SPSS, Matlab",Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Email institucional da SuCom (Superintendência de Comunicação e Marketing),Não,Presencial,Não,Não,Totalmente em escola particular,F,Masculino,153,59,23/10/1983,FE,Com os pais,1,Curitiba,Não,A pé,30,0,Não possuo,Violão,"Facebook, Instagram",45,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:1726,UFPR,ED - Educação,Pós-Doutorado,Ciências Humanas,2003,UNISOCIESC,"Iniciação científica, PET, Monitoria, Projeto de extensão, Empresa Júnior",,,,0,CAPES,0,0,Não,"R, SAS, Minitab, Statistica, Excel, Matlab",Não sei ainda,5,Conseguir um emprego.,Por alguma outra mídia social da UFPR,Não,Remota,Sim,Não,"Parte em escola pública, parte em particular",Ensino médio tradicional,Feminino,155,53,05/11/1981,GDF,Com amigos,1,Região metropolitana,Não,Transporte público,40,0,"Cachorro, Gato, Pássaro, Peixe, Tartaruga, Coelho",Violão,"Facebook, Instagram",48,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:1745,UFPR,SL - Litoral,Professor,Ciências Exatas,2018,Universidade Estadual do Centro-Oeste,"Iniciação científica, PET, Monitoria, Projeto de extensão",,,,0,CAPES,2,0,Sim,"R, SAS, Minitab, SPSS, Excel, Matlab",Definitivamente não,10,Conseguir um emprego.,Pelos professores que ministram/ministraram disciplinas da Transversal,Não,Remota,Sim,Sim,Totalmente em escola particular,Ensino médio tradicional,Masculino,163,94,02/01/1996,Trabalho ocasional,Com os pais,1,Curitiba,Não,A pé,30,1,Não possuo,Não toco nenhum instrumento,"Facebook, Instagram, Linkedin",45,A se chama Bouba e B se chama Kiki.
13/03/2020 10:41:1764,UFPR,SP - Palotina,FGH,Ciências Biológicas,2010,ielusc,"Iniciação científica, PET, Monitoria, Empresa Júnior",2004,2006,UFPR,18,Não,1,0,Sim,"R, SAS, Statistica, SPSS, Excel, Matlab",Certamente sim,7,Aumento salarial e oportunidades mais promissoras.,Pelo(a) orientador(a),Não,Presencial,Sim,Não,"Parte em escola pública, parte em particular",Ensino médio tradicional,Feminino,155,48,18/08/1986,Trabalho por contrato,Com outros familiares,1,Interior do Paraná,B (carro),Carro/moto próprio,90,0,Não possuo,"Violão, Guitarra, Teclado, Contrabaixo, Bateria, Piano, Flauta","Facebook, Twitter, Google+, Instagram, Linkedin, Outras",40,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:1783,UFPR,TC - Tecnologia,JHG,Ciências Exatas,2015,UnB,"Iniciação científica, PET, Projeto de extensão, Empresa Júnior",,,,0,CAPES,2,0,Sim,"R, Minitab, Statistica, SPSS, Excel, Matlab",Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Por ex-alunos da Disciplina,Não,Remota,Não,Não,Totalmente em escola pública,Ensino médio profissionalizante (técnico),Masculino,174,70,04/09/1989,Trabalho com carteira assinada/Vínculo Formal,Com amigos,4,Curitiba,B (carro),A pé,30,7,Não possuo,Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Linkedin, Outras",40,A se chama Bouba e B se chama Kiki.
13/03/2020 10:41:1802,ADFSA,ET - Exatas,WS,Ciências Exatas,2014,Universidade Positivo,"Iniciação científica, Monitoria, Projeto de extensão, Empresa Júnior",,,,5,Não,1,0,Não,"SAS, Minitab, Statistica, SPSS, Excel, Matlab",Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Por colegas,Não,Presencial,Não,Não,Totalmente em escola particular,ASFAF,Masculino,164,52,06/04/1993,Trabalho ocasional,Com o namorado(a)/noivo(a)/cônjuge,1,Região metropolitana,B (carro),Carro/moto próprio,20,0,"Cachorro, Gato, Pássaro, Peixe",Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Linkedin, Outras",58,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:1821,ASFDA,AG - Agrárias,LK,Ciências Exatas,2017,UNIR,"PET, Monitoria, Projeto de extensão, Empresa Júnior",2017,2019,UFMT,2,CAPES,1,1,Sim,ASFDAF,Não sei ainda,10,AASFASF,ASFA,Não,Presencial,Não,Não,"Parte em escola pública, parte em particular",F,Feminino,171,68,15/03/1996,Trabalho por contrato,"Pensão, quarto alugado ou algo similar",2,Interior do Paraná,B (carro),A pé,40,6,"Tartaruga, Coelho",Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Linkedin, Outras",49,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:1840,E,ET - Exatas,ASX,Ciências Humanas,2019,Faculdades Pequeno Príncipe,AJKSFHAKF,2015,2017,UFPR,2,CNPQ,1,1,Sim,AFFHG,Definitivamente não,10,JHGF,FS,Não,Presencial,Não,Sim,Totalmente em escola particular,F,Masculino,185,99,04/10/1993,Bolsista em tempo integral,Sozinho,1,Outro Estado,B (carro),Carro/moto próprio,20,1,"Pássaro, Peixe, Tartaruga, Coelho","Violão, Guitarra, Teclado, Contrabaixo",Facebook,49,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:1859,GFH,AG - Agrárias,YG,Ciências Humanas,2014,UNESPAR - Universidade Estadual do Paraná,ASFDASF,,,,1,LACTEC,1,6,Sim,HKFFH,Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,FSAA,Não,Remota,Sim,Não,"Parte em escola pública, parte em particular",Ensino médio tradicional,Feminino,175,85,11/12/1990,PKLFA,Com os pais,3,Outro País,Não,A pé,15,3,Não possuo,Violão,"Facebook, Instagram",40,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:1878,HG,BL - Ciências Biológicas,Mestrado Acadêmico,Ciências Exatas,2014,Universidade Federal Rural da Amazônia,HGJJHGJ,,,,0,SIMEPAR,2,0,Sim,EDCS,Não sei ainda,9,Conseguir um emprego.,SF,Não,Remota,Sim,Não,Totalmente em escola pública,Ensino médio tradicional,Masculino,156,53,28/09/1990,ASFA,Com amigos,4,Curitiba,Não,A pé,50,2,"Cachorro, Gato, Pássaro, Peixe, Tartaruga, Coelho",Violão,"Facebook, Instagram",45,A se chama Bouba e B se chama Kiki.
13/03/2020 10:41:1897,FJHGJH,ET - Exatas,Mestrado Acadêmico,Ciências Biológicas,2018,UDESC,ERSFS,2015,2017,UDESC,6,Fundação Araucária,1,1,Sim,Excel,Definitivamente não,8,Conseguir um emprego.,AF,Não,Presencial,Sim,Não,Totalmente em escola particular,Ensino médio tradicional,Masculino,156,58,09/12/1997,FE,Com os pais,1,Região metropolitana,B (carro),Transporte público,30,6,Não possuo,Violão,"Facebook, Instagram",45,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:1916,UFPR,ET - Exatas,Mestrado Acadêmico,Ciências Exatas,2018,UNAERP,"ASFAF, Iniciação científica, PET, Monitoria, Projeto de extensão, Empresa Júnior",,,,1,Não,0,0,Sim,Excel,Certamente sim,8,Aumento salarial e oportunidades mais promissoras.,AF,Não,Remota,Não,Não,"Parte em escola pública, parte em particular",Ensino médio profissionalizante (técnico),Feminino,170,58,09/12/1997,GDF,Com outros familiares,2,Curitiba,B (carro),A pé,5,0,Não possuo,Não toco nenhum instrumento,"Facebook, Instagram, Linkedin",62,A se chama Bouba e B se chama Kiki.
13/03/2020 10:41:1935,UFPR,AG - Agrárias,Mestrado Acadêmico,Ciências Humanas,1999,Uninter,"PET, Monitoria",,2020,,0,Não,1,0,Sim,Excel,Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,FAF,Sim,Presencial,Não,Sim,Totalmente em escola particular,ASFAF,Masculino,170,58,08/01/1962,Trabalho ocasional,Com amigos,1,Interior do Paraná,Não,Transporte público,40,1,Não possuo,"Violão, Guitarra, Teclado, Contrabaixo, Bateria, Piano, Flauta","Facebook, Twitter, Google+, Instagram, Linkedin, Outras",68,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:1954,UFPR,ET - Exatas,Mestrado Acadêmico,Ciências Humanas,2013,Uninter,"Iniciação científica, PET, Monitoria, Projeto de extensão, Empresa Júnior",,2020,,0,Não,1,0,Sim,Excel,Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,FF,Sim,Presencial,Não,Não,"Parte em escola pública, parte em particular",F,Feminino,172,115,21/06/1991,Trabalho por contrato,Com o namorado(a)/noivo(a)/cônjuge,1,Curitiba,Não,Transporte público,40,1,"Cachorro, Gato, Pássaro, Peixe",Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Linkedin, Outras",68,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:1973,UFPR,AG - Agrárias,Mestrado Profissional,Ciências Exatas,2018,Universidade de Brasília - UNB,"Iniciação científica, PET, Monitoria, Projeto de extensão",2014,2016,UFPR,0,CAPES,0,3,Não,"R, SAS, Excel",Não sei ainda,10,AASFASF,Pelos professores que ministram/ministraram disciplinas da Transversal,Não,Presencial,Não,Não,Totalmente em escola pública,F,Masculino,167,65,28/07/1976,Trabalho com carteira assinada/Vínculo Formal,"Pensão, quarto alugado ou algo similar",6,Região metropolitana,Superior à B,Transporte público,60,0,"Tartaruga, Coelho",Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Linkedin, Outras",50,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:1992,UEL,BL - Ciências Biológicas,Doutorado,Ciências Biológicas,1994,Universidade Federal de Alfenas,"Iniciação científica, PET, Monitoria, Empresa Júnior",,,,0,CAPES,1,0,Não,"R, SAS, Minitab, Statistica, SPSS, Excel, Matlab",Definitivamente não,10,JHGF,Site da UFPR ou instituição de origem,Não,Remota,Sim,Não,Totalmente em escola particular,Ensino médio tradicional,Masculino,182,106,17/10/1970,Trabalho ocasional,Sozinho,0,Interior do Paraná,B (carro),Transporte público,20,15,"Pássaro, Peixe, Tartaruga, Coelho",Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Linkedin, Outras",39,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:2011,UEM,ET - Exatas,Pós-Doutorado,Ciências Exatas,2012,UFPR,"Iniciação científica, PET, Projeto de extensão, Empresa Júnior",,2019,UFPR,2,Não,1,0,Sim,"R, SAS, Minitab, Statistica, SPSS, Excel",Certamente sim,8,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Site da UFPR ou instituição de origem,Sim,Remota,Sim,Não,"Parte em escola pública, parte em particular",Ensino médio tradicional,Feminino,175,100,28/12/2019,Trabalho por contrato,Com os pais,2,Outro Estado,B (carro),Transporte público,60,0,Não possuo,"Violão, Guitarra, Teclado, Contrabaixo",Facebook,45,A se chama Bouba e B se chama Kiki.
13/03/2020 10:41:2030,UEPG,AG - Agrárias,Professor,Ciências Exatas,2010,Univali,"Iniciação científica, Monitoria, Projeto de extensão, Empresa Júnior",2000,2001,Universidade de Strathclyde,17,CAPES,1,2,Sim,"R, SAS, Minitab, Statistica, SPSS, Matlab",Não sei ainda,10,Conseguir um emprego.,Email institucional da SuCom (Superintendência de Comunicação e Marketing),Não,Presencial,Sim,Sim,Totalmente em escola particular,Ensino médio tradicional,Masculino,164,79,01/03/1988,Bolsista em tempo integral,Com amigos,0,Outro País,A e B (moto e carro),Carro/moto próprio,30,3,"Cachorro, Gato, Pássaro, Peixe, Tartaruga, Coelho",Violão,"Facebook, Instagram",45,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:2049,UNIOESTE,ET - Exatas,FGH,Ciências Exatas,2016,Unig campus V ,"PET, Monitoria, Projeto de extensão, Empresa Júnior",,,,3,Não,0,0,Não,"R, SAS, Minitab, Statistica, Excel, Matlab",Definitivamente não,10,Conseguir um emprego.,Por alguma outra mídia social da UFPR,Não,Remota,Não,Não,"Parte em escola pública, parte em particular",Ensino médio profissionalizante (técnico),Feminino,165,65,15/06/1991,PKLFA,Com os pais,2,Curitiba,Não,A pé,15,10,Não possuo,Violão,"Facebook, Instagram",55,A se chama Bouba e B se chama Kiki.
13/03/2020 10:41:2068,UNICENTRO,AG - Agrárias,JHG,Ciências Humanas,2017,Universidade Estadual do Oeste do Paraná,"PET, Monitoria",,,,0,CAPES,1,7,Sim,"R, SAS, Minitab, SPSS, Excel, Matlab",Certamente sim,10,Aumento salarial e oportunidades mais promissoras.,Pelos professores que ministram/ministraram disciplinas da Transversal,Não,Presencial,Não,Não,Totalmente em escola pública,ASFAF,Masculino,185,95,05/09/1993,ASFA,Com outros familiares,2,Região metropolitana,B (carro),Carro/moto próprio,20,0,Não possuo,Violão,"Facebook, Instagram",55,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:2087,UENP,BL - Ciências Biológicas,WS,Ciências Humanas,2013,Universidade Federal de Pelotas,"PET, Monitoria",2016,2018,Universidade Federal de Pelotas,7,CNPQ,2,1,Sim,"R, SAS, Statistica, SPSS, Excel, Matlab",Certamente sim,9,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Pelo(a) orientador(a),Não,Presencial,Não,Não,Totalmente em escola particular,F,Masculino,171,76,29/11/1980,FE,Com amigos,1,Curitiba,B (carro),Carro/moto próprio,20,2,Não possuo,Não toco nenhum instrumento,"Facebook, Instagram, Linkedin",55,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:2106,UNILA,ET - Exatas,LK,Ciências Exatas,2017,UFPR,"PET, Monitoria",,,,2,LACTEC,1,0,Sim,"R, Minitab, Statistica, SPSS, Excel, Matlab",Certamente sim,9,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Por ex-alunos da Disciplina,Não,Presencial,Não,Não,"Parte em escola pública, parte em particular",F,Feminino,175,80,09/11/1994,GDF,Com o namorado(a)/noivo(a)/cônjuge,0,Interior do Paraná,B (carro),Carro/moto próprio,30,10,"Cachorro, Gato, Pássaro, Peixe","Violão, Guitarra, Teclado, Contrabaixo, Bateria, Piano, Flauta","Facebook, Twitter, Google+, Instagram, Linkedin, Outras",49,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:2125,IFPR,AG - Agrárias,ASX,Ciências Biológicas,2018,UNINTER,"PET, Monitoria",2016,2018,UFPR,0,SIMEPAR,1,0,Não,"SAS, Minitab, Statistica, SPSS, Excel, Matlab",Não sei ainda,9,AASFASF,Por colegas,Não,Remota,Sim,Sim,Totalmente em escola particular,Ensino médio tradicional,Masculino,175,66,26/12/1977,Trabalho ocasional,"Pensão, quarto alugado ou algo similar",3,Curitiba,B (carro),Carro/moto próprio,60,0,"Tartaruga, Coelho",Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Linkedin, Outras",27,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:2144,UTFPR,ET - Exatas,YG,Ciências Exatas,2017,UNASP,"Iniciação científica, PET, Monitoria, Projeto de extensão, Empresa Júnior",,,,0,Fundação Araucária,2,0,Não,ASFDAF,Definitivamente não,6,JHGF,ASFA,Não,Remota,Sim,Não,"Parte em escola pública, parte em particular",Ensino médio tradicional,Feminino,174,66,13/08/1993,Trabalho por contrato,Sozinho,1,Região metropolitana,A e B (moto e carro),Transporte público,45,5,"Pássaro, Peixe, Tartaruga, Coelho",Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Linkedin, Outras",45,A se chama Bouba e B se chama Kiki.
13/03/2020 10:41:2163,UFPR,"AC - Artes, Comunicação e Design",Mestrado Acadêmico,Ciências Exatas,2015,UTP,"Iniciação científica, PET, Monitoria, Projeto de extensão",,,,0,Não,1,0,Não,AFFHG,Certamente sim,8,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,FS,Não,Presencial,Sim,Não,Totalmente em escola pública,Ensino médio tradicional,Masculino,171,70,06/12/1991,Trabalho com carteira assinada/Vínculo Formal,Com os pais,1,Interior do Paraná,B (carro),Carro/moto próprio,30,2,Não possuo,Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Linkedin, Outras",50,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:2182,UFPR,AG - Agrárias,Mestrado Acadêmico,Ciências Exatas,2006,UFPR,"Iniciação científica, PET, Monitoria, Empresa Júnior",,,,0,Não,1,0,Sim,HKFFH,Não sei ainda,9,Conseguir um emprego.,FSAA,Não,Remota,Não,Não,Totalmente em escola particular,Ensino médio profissionalizante (técnico),Masculino,150,65,17/01/1982,Trabalho ocasional,Com amigos,1,Outro Estado,Não,Transporte público,70,3,"Cachorro, Gato, Pássaro, Peixe, Tartaruga, Coelho","Violão, Guitarra, Teclado, Contrabaixo",Facebook,65,A se chama Bouba e B se chama Kiki.
13/03/2020 10:41:2201,UFPR,BL - Ciências Biológicas,Doutorado,Ciências Humanas,2010,UTFPR,"Iniciação científica, PET, Projeto de extensão, Empresa Júnior",2016,2018,UFPR,1,Não,1,6,Sim,EDCS,Definitivamente não,6,Conseguir um emprego.,SF,Não,Presencial,Não,Não,"Parte em escola pública, parte em particular",ASFAF,Feminino,172,60,17/01/1985,Trabalho por contrato,Com os pais,2,Outro País,B (carro),A pé,25,10,Não possuo,Violão,"Facebook, Instagram",45,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:2220,UFPR,SA - Sociais Aplicadas,Doutorado,Ciências Humanas,2010,UFPR,"Iniciação científica, Monitoria, Projeto de extensão, Empresa Júnior",2011,2013,UFPR,1,CAPES,1,5,Sim,Excel,Certamente sim,8,Aumento salarial e oportunidades mais promissoras.,AF,Não,Presencial,Não,Sim,Totalmente em escola particular,F,Masculino,167,60,23/02/1968,Bolsista em tempo integral,Com outros familiares,1,Curitiba,B (carro),Carro/moto próprio,90,0,Não possuo,Violão,"Facebook, Instagram",55,B se chama Bouba e A se chama Kiki.
